"latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_ti5","frp","daynight","type"
"-21.83124","134.53867","208","0.51","0.66","2019-09-20","0353","N","VIIRS","l","1","314.5","51",NULL,0
"-21.98079","127.73302","208","0.44","0.62","2019-09-19","0552","N","VIIRS","l","1","322.4","56.1",NULL,0
"-21.84868","134.52802","208","0.51","0.66","2019-09-20","0353","N","VIIRS","l","1","310.4","46.9",NULL,0
"-29.26751","149.38498","208","0.35","0.57","2019-09-18","0428","N","VIIRS","l","1","320","108.3",NULL,0
"-22.39777","150.53909","208","0.37","0.58","2019-09-24","0417","N","VIIRS","l","1","302.7","128.5",NULL,3
"-22.45836","150.65741","208","0.59","0.7","2019-09-18","0430","N","VIIRS","l","1","324.5","170.1",NULL,0
"-21.87597","134.57748","208","0.51","0.66","2019-09-20","0353","N","VIIRS","l","1","314.6","70.6",NULL,0
"-30.07091","152.23766","208","0.32","0.55","2019-09-08","0415","N","VIIRS","l","1","319.7","57.7",NULL,0
"-29.51118","153.33878","208","0.42","0.45","2019-09-09","0356","N","VIIRS","l","1","300.9","60.6",NULL,0
"-21.7507","134.661","208","0.6","0.71","2019-09-20","0533","N","VIIRS","l","1","319.9","97.5",NULL,0
