"latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_ti5","frp","daynight","type"
"-37.7407","149.3715","506.7","2.2","1.4","2019-12-29","1544","Aqua","MODIS","100","6.3","400.1","5587.7","N",0
"-37.6664","149.4099","506","2.2","1.4","2019-12-29","1544","Aqua","MODIS","100","6.3","400.1","5561.1","N",0
"-37.5445","147.8032","506","2.2","1.4","2019-12-20","1550","Aqua","MODIS","100","6.3","400.1","5482.7","N",0
"-37.5314","147.8042","506","2.2","1.4","2019-12-20","1550","Aqua","MODIS","100","6.3","400.1","5485.2","N",0
"-33.0704","149.8512","505.8","1","1","2019-12-21","0353","Aqua","MODIS","100","6.3","400.1","1776.8","D",0
"-33.6312","150.3853","505.7","1","1","2019-12-21","0353","Aqua","MODIS","100","6.3","400.1","1746.4","D",0
"-33.6297","150.3961","505.7","1","1","2019-12-21","0353","Aqua","MODIS","100","6.3","336.7","1745.6","D",0
"-37.4726","147.7119","505.6","2.2","1.4","2019-12-20","1550","Aqua","MODIS","100","6.3","400.1","5341.1","N",0
"-37.6927","149.4072","505.6","2.2","1.4","2019-12-29","1544","Aqua","MODIS","100","6.3","400.1","5534.4","N",0
"-32.3241","123.3226","505.6","1.1","1.1","2019-12-21","0532","Aqua","MODIS","100","6.3","400.1","2095.8","D",0
